,keyword,paper,url,names,abstract
0,wearable for mental health,"Measuring college students' sleep, stress, mental health and wellbeing with wearable sensors and mobile phones",https://dspace.mit.edu/bitstream/handle/1721.1/106066/965194440-MIT.pdf?sequence=1&isAllowed=y,A Sano - 2016 - dspace.mit.edu,"This thesis carries out a series of studies and develops a methodology and tools to measure and analyze ambulatory physiological, behavioral and social data from wearable sensors and mobile phones with trait data such as personality, for learning about behaviors and traits …"
1,wearable for mental health,EasyBand: a wearable for safety-aware mobility during pandemic outbreak,https://www.smohanty.org/Publications_Journals/2020/Mohanty_IEEE-MCE_2020-Sep_EasyBand-COVID-19.pdf,"AK Tripathy, AG Mohapatra, SP Mohanty… - IEEE Consumer …, 2020 - ieeexplore.ieee.org","… unemployment, food scarcity, and mental health problems of individuals. This article presents
a smart consumer electronics solution to facilitate safe and gradual opening after stay-at-home
restrictions are lifted. An Internet of Medical Things enabled wearable called EasyBand … 
"
2,,,,,
3,wearable for mental health,A systematic review of wearable patient monitoring systems–current challenges and opportunities for clinical adoption,https://www.researchgate.net/profile/Farhaan_Mirza/publication/318093457_A_Systematic_Review_of_Wearable_Patient_Monitoring_Systems_-_Current_Challenges_and_Opportunities_for_Clinical_Adoption/links/5a21508f4585150259b7f653/A-Systematic-Review-of-Wearable-Patient-Monitoring-Systems-Current-Challenges-and-Opportunities-for-Clinical-Adoption.pdf,"MM Baig, H GholamHosseini, AA Moqeem… - Journal of medical …, 2017 - Springer","… Major contributing factors are unhealthy lifestyles, along with the impact of the economic downturn
on mental and physical health [1]. Wearable patient monitoring (WPM) systems are emerging
as an effective tool for the prevention, early detection and management of chronic … 
"
4,wearable for mental health,Ensuring wearable devices don't wear out their welcome: Cautions for the mental health care road ahead.,http://search.pdh.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&db=pdh&jrnl=09695893&asa=N&AN=2019-56575-001&h=GgN%2FxVNbXsdNYLeWngr2PmEDgVY5mHpFqiuJtePMbq%2Fpwc4Dqga8wW03HcZYot72%2BPNhs5AFM8Ix37cwkVtLBg%3D%3D&crl=c,"JS Comer, K Conroy… - … Science and Practice, 2019 - search.pdh.ebscohost.com","Comments on an article by H. Hunkin et al.(see record [rid] 2019-30079-001 [/rid]). As Hunkin et al. note, wearable devices are part of a larger technology?based, person?centered movement to democratize health care. Wearable devices have already shown …"
5,wearable for mental health,Wearable mental-health monitoring platform with independent component analysis and nonlinear chaotic analysis,http://ssl.kaist.ac.kr/2007/data/conference/%5B2012_EMBC%5DTaehwanRoh.pdf,"T Roh, K Bong, S Hong, H Cho… - 2012 annual international …, 2012 - ieeexplore.ieee.org",The wearable mental-health monitoring platform is proposed for mobile mental healthcare system. The platform is headband type of 50g and consumes 1.1 mW. For the mental health monitoring two specific functions (independent component analysis (ICA) and nonlinear …
6,wearable for mental health,Transfer learning for wearable long-term social speech evaluations,https://ieeexplore.ieee.org/iel7/6287639/6514899/08492416.pdf,"Y Chen, B Gao, L Jiang, K Yin, J Gu, WL Woo - IEEE Access, 2018 - ieeexplore.ieee.org","… The purpose of the three experiments was to use the wearable social-mental-health
sensing platform to analyze the relationship between the level of autism in healthy
people and the long-term daily social perception features … 
"
7,wearable for mental health,Healthwear: medical technology becomes wearable,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.466.8216&rep=rep1&type=pdf,"A Pentland - Computer, 2004 - ieeexplore.ieee.org","… Session on Autonomus Mental Development, IEEE Press, 2003, pp. 2797-2802;
http://hd.media.mit.edu. 9. D. Klapper, Use of a Wearable Ambulatory Monitor in the Classification
of Movement States in Parkin- son's Disease, master's thesis, Harvard-MIT Health Sciences and … 
"
8,wearable for mental health,Wearable long-term social sensing for mental wellbeing,http://nrl.northumbria.ac.uk/38524/1/92E8BEBD-E44B-44D2-BB51-83A084CFCBB2.pdf,"L Jiang, B Gao, J Gu, Y Chen, Z Gao, X Ma… - IEEE Sensors …, 2018 - ieeexplore.ieee.org","… There are huge opportunities for the use of wearable sensing in assessing mental health, such
as mood, anxiety, emotions, depression and stress [32]–[34], where continuous physiological
monitoring would provide a vital complement to clinical visits [35] … 
"
9,wearable for mental health,Wearable 3.0: From Smart Clothing to Wearable Affective Robot,https://ieeexplore.ieee.org/abstract/document/8933553/,"J Yang, J Zhou, G Tao, M Alrashoud, KN Al Mutib… - IEEE …, 2019 - ieeexplore.ieee.org","… The significance of Wearable 3.0 for human mental health and the system framework are
introduced in detail. This article is organized as follows … The architecture of a Wearable-3.0-
based human mental health monitoring system is explained in detail … 
"
10,wearable for mental health,Deep learning with wearable based heart rate variability for prediction of mental and general health,https://www.sciencedirect.com/science/article/pii/S1532046420302380,"LV Coutts, D Plans, AW Brown, J Collomosse - Journal of Biomedical …, 2020 - Elsevier","The ubiquity and commoditisation of wearable biosensors (fitness bands) has led to a deluge of personal healthcare data, but with limited analytics typically fed back to the user. The feasibility of feeding back more complex, seemingly unrelated measures to users was …"
11,wearable for mental health,Roll-over detection and sleep quality measurement using a wearable sensor,https://ieeexplore.ieee.org/abstract/document/4352587/,"H Miwa, S Sasahara, T Matsui - 2007 29th Annual International …, 2007 - ieeexplore.ieee.org","… sleep is an essential physiological function that is strongly related to mental condition, easy and
daily sleep management is considered essential for maintaining good mental health. In this paper,
we detected roll-over movements during sleep using a wearable armband-shaped … 
"
12,wearable for mental health,"Recognizing academic performance, sleep quality, stress level, and mental health using personality traits, wearable sensors and mobile phones",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc5431072/,"A Sano, AJ Phillips, ZY Amy, AW McHill… - … on Wearable and …, 2015 - ieeexplore.ieee.org","What can wearable sensors and usage of smart phones tell us about academic performance, self-reported sleep quality, stress and mental health condition? To answer this question, we collected extensive subjective and objective data using mobile phones …"
13,wearable for mental health,[HTML][HTML] Identifying objective physiological markers and modifiable behaviors for self-reported stress and mental health status using wearable sensors and mobile …,https://www.jmir.org/2018/6/e210,"A Sano, S Taylor, AW McHill, AJK Phillips… - Journal of medical …, 2018 - jmir.org",Background: Wearable and mobile devices that capture multimodal data have the potential to identify risk factors for high stress and poor mental health and to provide information to improve health and well-being. Objective: We developed new tools that provide objective …
14,wearable for mental health,Perceived acceptability of wearable devices for the treatment of mental health problems,https://onlinelibrary.wiley.com/doi/abs/10.1002/jclp.22934,"H Hunkin, DL King, IT Zajac - Journal of clinical psychology, 2020 - Wiley Online Library","Objective This study examined the potential acceptability of wearable devices (eg, smart headbands, wristbands, and watches) aimed at treating mental health disorders, relative to conventional approaches. Methods A questionnaire assessed perceptions of wearable and …"
15,Wearable for mood disorder,A wearable electrochemical sensing system for non-invasive monitoring of lithium drug in bipolar disorder,https://ieeexplore.ieee.org/iel7/7361/9379974/09141332.pdf,"F Criscuolo, F Cantù, I Taurino, S Carrara… - IEEE Sensors …, 2020 - ieeexplore.ieee.org","… Index Terms— Electrochemistry, flexible sensors, ion sensors, potentiometry, sweat, wearable …
LITHIUM is the most common drug for mood stabi- lization in psychiatric disorders [2]. Despite
its … apy for the treatment and maintenance of people suffering from Bipolar Disorder (BD … 
"
16,Wearable for mood disorder,[HTML][HTML] Alcohol use disorder in the age of technology: a review of wearable biosensors in alcohol use disorder treatment,https://www.frontiersin.org/articles/10.3389/fpsyt.2021.642813/full,"RE Davis-Martin, SM Alessi, ED Boudreaux - Frontiers in psychiatry, 2021 - frontiersin.org","… Table 5.6A—Substance Use Disorder in Past Year among Persons Aged 18 or Older, by … field
measurement of heart rate: correlates of drug use, craving, stress, and mood in polydrug … Raya
YS, Haick H. Advanced materials for health monitoring with skin-based wearable devices … 
"
17,Wearable for mood disorder,Sham sleep feedback delivered via actigraphy biases daytime symptom reports in people with insomnia: Implications for insomnia disorder and wearable devices,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jsr.12726,"D Gavriloff, B Sheaves, A Juss, CA Espie… - Journal of sleep …, 2018 - Wiley Online Library","… to the negative?feedback group, displayed a significantly greater increase in positive mood and
alert … an experimental protocol that could plausibly simulate the everyday use of wearable devices
in the … Williams, & Lo, 2006) to rule out probable depression or an anxiety disorder … 
"
18,Wearable for mood disorder,[HTML][HTML] Wearable sensors detect childhood internalizing disorders during mood induction task,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0195598,"EW McGinnis, RS McGinnis, J Hruschak, E Bilek, K Ip… - Plos one, 2018 - journals.plos.org","There is a significant need to develop objective measures for identifying children under the age of 8 who have anxiety and depression. If left untreated, early internalizing symptoms can lead to adolescent and adult internalizing disorders as well as comorbidity which can yield …"
19,Wearable for mood disorder,Design Considerations in Wearable Technology for Patients with Bipolar Disorder,https://journals.sagepub.com/doi/abs/10.1177/1541931218621273,"T Tran, D Nathan-Roberts - Proceedings of the Human …, 2018 - journals.sagepub.com","… Due to the limited number of consumer wearables targeted specifically for mood disorders,
it's not uncommon for people with bipolar disorder, or other affective disorders, to use fitness
wearable sensors (ie, Fitbits) to manage their mental health … 
"
20,Wearable for mood disorder,Characterization of depressive states in bipolar patients using wearable textile technology and instantaneous heart rate variability assessment,https://ieeexplore.ieee.org/abstract/document/6746656/,"G Valenza, L Citi, C Gentili, A Lanata… - IEEE journal of …, 2014 - ieeexplore.ieee.org","… Bipolar disorder is a chronic disease: Even if a period of re- mission could … symptoms which might
be present even during euthymic periods as subthreshold mood alterations … distinguish depressive
from euthymic episodes in bipolar patients by using wearable textile technology … 
"
21,Wearable for mood disorder,[HTML][HTML] Comparison of wearable activity tracker with actigraphy for sleep evaluation and circadian rest-activity rhythm measurement in healthy young adults,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5355016/,"HA Lee, HJ Lee, JH Moon, T Lee, MG Kim… - Psychiatry …, 2017 - ncbi.nlm.nih.gov","… 1 ,33 The development of a wearable activity tracker that measures additional variables, such
as light exposure, and … applications, especially the diagnosis, treatment effect monitoring, and
prevention of a variety of psychiatric disorders, such as mood disorder and circadian … 
"
22,Wearable for mood disorder,Long term activity monitoring with a wearable sensor node,https://eprints.lancs.ac.uk/id/eprint/13069/1/bsn_2006.pdf,"KV Laerhoven, HW Gellersen… - … Workshop on Wearable …, 2006 - ieeexplore.ieee.org","… Acceleration Proceedings of the International Workshop on Wearable and Implantable Body
Sensor Networks (BSN'06) 0-7695-2547-4/06 $20.00 © 2006 IEEE … This is where the promise
of activity sensors presented in this paper lies. Mood disorders make a fine example … 
"
23,Wearable for stress detection,Wearable physiological sensors reflect mental stress state in office-like situations,https://ieeexplore.ieee.org/abstract/document/6681496/,"J Wijsman, B Grundlehner, H Liu… - 2013 Humaine …, 2013 - ieeexplore.ieee.org","… RL Marca, G. Trster, and U. Ehlert, “Discriminating stress from cognitive load using a wearable
EDA device.” IEEE Trans Inf Technol Biomed, vol. 14, no. 2, pp. 410–417, 2010. [16] J. Zhai, AB
Barreto, C. Chin, and C. Li, “Realization of stress detection using psychophysiological … 
"
24,Wearable for stress detection,Monitoring the impact of stress on the sleep patterns of pilgrims using wearable sensors,https://www.academia.edu/download/42534762/Monitoring_the_Impact_of_Stress_on_the_S20160210-22806-7dwemi.pdf,"A Muaremi, A Bexheti, F Gravenhorst… - … on biomedical and …, 2014 - ieeexplore.ieee.org","… M. Bracale, and L. Pecchia, “Nonlinear heart rate variability features for real-life stress detection.
case study: students under stress due to university examination,” BioMedical Eng, vol. 10, p. 96,
2011. [16] A. Sano and RW Picard, “Stress recognition using wearable sensors and … 
"
25,Wearable for stress detection,Keep the stress away with SoDA: Stress detection and alleviation system,https://ieeexplore.ieee.org/abstract/document/7926455/,"AO Akmandor, NK Jha - IEEE Transactions on Multi-Scale …, 2017 - ieeexplore.ieee.org","… In the stress alleviation stage, we compare SoDA with the 'no alleviation' baseline and validate
its efficacy in responding to and alleviating stress. Index Terms—Feature selection, physiological
signals, stress alleviation, stress detection, wearable medical sensors. ? … 
"
26,Wearable for stress detection,Identification of suitable biomarkers for stress and emotion detection for future personal affective wearable sensors,https://www.mdpi.com/2079-6374/10/4/40/pdf,"A Zamkah, T Hui, S Andrews, N Dey, F Shi, RS Sherratt - Biosensors, 2020 - mdpi.com","Skin conductivity (ie, sweat) forms the basis of many physiology-based emotion and stress detection systems. However, such systems typically do not detect the biomarkers present in sweat, and thus do not take advantage of the biological information in the sweat. Likewise …"
27,Wearable for stress detection,[HTML][HTML] Making Wearable Technology Available for Mental Healthcare through an Online Platform with Stress Detection Algorithms: The Carewear Project,https://www.hindawi.com/journals/js/2020/8846077/,"G Debard, N De Witte, R Sels, M Mertens… - Journal of …, 2020 - hindawi.com","Over the past years, mobile health (mHealth) applications and specifically wearables have become able and available to collect data of increasing quality of relevance for mental health. Despite the large potential of wearable technology, mental healthcare professionals …"
28,Wearable for stress detection,Stress Detection by Machine Learning and Wearable Sensors,https://www.shoya.io/preprint/garg2021stress.pdf,"P Garg, J Santhosh, A Dengel, S Ishimaru - … International Conference on …, 2021 - dl.acm.org","Mental states like stress, depression, and anxiety have become a huge problem in our modern society. The main objective of this work is to detect stress among people, using Machine Learning approaches with the final aim of improving their quality of life. We …"
